<OOV> 1.0	OOV
<SIL> 1.0	SIL
نیلم 1.0	N II L A M
نے 1.0	N AE
سالگرہ 1.0	S AA L G I R AA
پر 1.0	P A R
ہیڈ 1.0	H AY DD
سیسموگراف 1.0	S AY S M OO G I R AA F
اسود 1.0	A S V A D_D
قریشی 1.0	Q U R AY SH II
کے 1.0	K AE
ماتھے 1.0	M AA T_D_H AE
اینٹھن 1.0	AY N TT_H A N
اور 1.0	O R
غم 1.0	7 A M
کی 1.0	K II
آتشیں 1.0	AA T_D I SH IIN
رو 1.0	R O
محسوس 1.0	M E H S UU S
حاجی 1.0	H AA D_ZZ II
مجاہد 1.0	M U D_ZZ AA H I D_D
بلگرامی 1.0	B I L G I R AA M II
مخزن 1.0	M A X Z A N
غزوہ 1.0	7 A Z V AA
ایک 1.0	AE K
ارب 1.0	A R A B
قارئین 1.0	Q AA R A II N
میں 1.0	M AEN
انتہائی 1.0	I N T_D I H AA II
صادق 1.0	S AA D_D I Q
جینوئن 1.0	D_ZZ AY N UU I N
قاری 1.0	Q AA R II
تھے 1.0	T_D_H AE
سامعین 1.0	S AA M AE II N
انفارمیشن 1.0	I N F AA R M AE SH A N
گھن 1.0	G_H A N
گرج 1.0	G A R A D_ZZ
سنیں 1.0	S U N AEN
تو 1.0	T_D OO
ویزے 1.0	V II Z AE
رپورٹ 1.0	R I P OO R TT
پوشیدہ 1.0	P OO SH II D_D AA
محدود 1.0	M E H D_D UU D_D
ایل 1.0	E L
وی 1.0	V II
ڈومیسٹک 1.0	DD OO M AY S TT I K
پیکج 1.0	P AY K I D_ZZ
ہے 1.0	H AE
کمیونسٹ 1.0	K A M J OO N I S TT
لوگوں 1.0	L OO G OON
تنگ 1.0	T_D A NG
ہونے 1.0	H OO N AE
باوجود 1.0	B AA V A D_ZZ UU D_D
کئی 1.0	K A II
شعبوں 1.0	SH U B OON
تندہی 1.0	T_D A N D_D I H II
سے 1.0	S AE
اپنے 1.0	A P N AE
کیریئر 1.0	K AY R II A R
کو 1.0	K OO
مزین 1.0	M U Z AY J A N
